NOMBRE;GRATUITO;FECHA;FECHA-FIN;HORA;NOMBRE-INSTALACION;latitude;longitude;DISTRITO
Exposicin de maletas ilustradas FLIC.;1;2015-10-26;2015-11-16;08:30;Biblioteca Pblica Municipal Aluche (Latina);40.39597072367931;-3.7562716852987847;LATINA
Exposicin de maletas ilustradas FLIC.;1;2015-07-20;2015-09-14;08:30;Biblioteca Pblica Municipal Portazgo (Puente de Vallecas);40.39330714657693;-3.6554041181586046;PUENTE DE VALLECAS
Exposicin de maletas ilustradas FLIC.;1;2015-09-14;2015-10-05;08:30;Biblioteca Pblica Municipal Ana Mara Matute (Carabanchel);40.3975850662447;-3.7207386328562357;CARABANCHEL
Exposicin de pintura. Tarde de primavera, de Antonia Menndez Maestre (Tetun);1;2015-06-09;2015-07-24;00:00;Junta Municipal del Distrito de Tetun;40.465092507464036;-3.693764134631911;TETUAN
Exposicin. 3-EN-UNO. Diseadores, productores, emprendedores;1;2015-06-10;2015-09-20;00:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Exposicin. 60 momentos pop del siglo XX;0;2015-01-29;2015-10-04;00:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Exposicin. Arquitecturas y espacios en la coleccin RAC;1;2015-07-01;2015-11-08;00:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Exposicin. Arte en el Universo;1;2015-01-01;2015-12-31;00:00;Planetario de Madrid;40.39227092120195;-3.684968648157021;ARGANZUELA
Exposicin. Auroras Polares;1;2015-01-01;2015-12-31;00:00;Planetario de Madrid;40.39227092120195;-3.684968648157021;ARGANZUELA
Exposicin. De la manzana a los agujeros negros;1;2015-01-01;2015-12-31;00:00;Planetario de Madrid;40.39227092120195;-3.684968648157021;ARGANZUELA
Exposicin. Diseando 007. Talleres y visitas guiadas;0;2015-06-15;2015-08-30;00:00;Fernn Gmez. Centro Cultural de la Villa;40.424926347610764;-3.6899208519663427;SALAMANCA
Exposicin. Diseando 007: Cincuenta Aos de Estilo Bond;0;2015-05-08;2015-08-30;00:00;Fernn Gmez. Centro Cultural de la Villa;40.424926347610764;-3.6899208519663427;SALAMANCA
Exposicin. El Anillo. Jos Mara Snchez Garca Arquitectos;1;2015-06-10;2015-09-13;00:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Exposicin. Fin;0;2015-05-28;2015-08-30;00:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Exposicin. Godlewska pintura y escultura. Retrospectiva;1;2015-07-08;2015-07-30;00:00;Centro Cultural Casa de Vacas (Retiro);40.41906024374356;-3.6840615387926956;RETIRO
Exposicin. La Agencia Espacial Europea en el Planetario de Madrid;1;2015-01-01;2015-12-31;00:00;Planetario de Madrid;40.39227092120195;-3.684968648157021;ARGANZUELA
Exposicin. La ciudad en vietas. CentroCentro;0;2015-05-28;2015-09-13;00:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Exposicin. Las murallas de Madrid;0;2014-12-23;2015-10-31;00:00;Museo de San Isidro. Los orgenes de Madrid;40.412069631779325;-3.710874934826838;CENTRO
Exposicin. Los ngeles de Juani, de Juana Martn Ramrez. Centro Cultural Buenavista (Salamanca);0;2015-07-01;2015-07-31;00:00;Centro Cultural Buenavista (Salamanca);40.43200210571468;-3.6709293330780204;SALAMANCA
Exposicin. Madrid 24 h. Un da en la vida de Madrid;1;2015-06-23;2015-08-30;00:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Exposicin. Paisajes de Marte;1;2015-01-01;2015-12-31;00:00;Planetario de Madrid;40.39227092120195;-3.684968648157021;ARGANZUELA
Exposicin. Paradojas;1;2015-06-10;2015-07-24;00:00;Centro Cultural Galileo (Chamber);40.43371190964793;-3.7104543597957758;CHAMBERI
Exposicin. Yuri Gagarin. El primer hombre en el espacio;1;2015-01-01;2015-12-31;00:00;Planetario de Madrid;40.39227092120195;-3.684968648157021;ARGANZUELA
Lecturas dramatizadas. Shejit;0;2015-07-21;2015-07-21;20:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Msica. La plaza en verano;1;2015-08-01;2015-08-31;20:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Msica. Mostaza Glvez;1;2015-07-25;2015-07-25;23:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Msica. October People;1;2015-07-24;2015-07-24;23:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Msica. Red Beard;0;2015-07-23;2015-07-23;23:00;Matadero Madrid;40.39241367848808;-3.697259467865366;ARGANZUELA
Obra de teatro. (aPnea);0;2015-07-30;2015-07-30;20:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Obra de teatro. (aPnea);0;2015-07-31;2015-07-31;20:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Obra de teatro. a taca;0;2015-10-03;2015-10-03;19:00;Centro Cultural Antonio Machado (San Blas - Canillejas);40.42027705095574;-3.621741078700336;SAN BLAS-CANILLEJAS
Obra de teatro. El viajero perdido;0;2015-08-07;2015-08-07;20:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Obra de teatro. El viajero perdido;0;2015-08-08;2015-08-08;20:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Obra de teatro. Guernica 1913;0;2015-09-26;2015-09-26;19:00;Centro Cultural Antonio Machado (San Blas - Canillejas);40.42027705095574;-3.621741078700336;SAN BLAS-CANILLEJAS
Obra de teatro. Juegos prohibidos;0;2015-09-27;2015-09-27;19:00;Centro Cultural Antonio Machado (San Blas - Canillejas);40.42027705095574;-3.621741078700336;SAN BLAS-CANILLEJAS
Obra de teatro. Travesas;0;2015-10-04;2015-10-04;19:00;Centro Cultural Antonio Machado (San Blas - Canillejas);40.42027705095574;-3.621741078700336;SAN BLAS-CANILLEJAS
Obra de teatro. Una mujer en la ventana;0;2015-08-22;2015-08-22;20:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Obra de teatro. Una mujer en la ventana;0;2015-08-21;2015-08-21;20:00;CentroCentro Cibeles de Cultura y Ciudadana. 5Cs;40.419011767401095;-3.692206111679657;RETIRO
Obra de teatro. Volver a verte;0;2015-09-20;2015-09-20;19:00;Centro Cultural Antonio Machado (San Blas - Canillejas);40.42027705095574;-3.621741078700336;SAN BLAS-CANILLEJAS
Obra de treatro clsico. Hecuba;0;2015-09-19;2015-09-19;19:00;Centro Cultural Antonio Machado (San Blas - Canillejas);40.42027705095574;-3.621741078700336;SAN BLAS-CANILLEJAS
Pelcula. 2 Francos, 40 pesetas;0;2015-08-01;2015-08-01;22:15;Centro Cultural Auditorio Parque El Paraiso (San Blas - Canillejas);40.42996840999023;-3.622184001035289;SAN BLAS-CANILLEJAS
Pelcula. Big eyes;1;2015-08-08;2015-08-08;22:00;Parque Emperatriz Mara de Austria;40.382311100280766;-3.7227552919050586;CARABANCHEL
Pelcula. Blue Jasmine;0;2015-08-07;2015-08-07;22:15;Centro Cultural Auditorio Parque El Paraiso (San Blas - Canillejas);40.42996840999023;-3.622184001035289;SAN BLAS-CANILLEJAS
Pelcula. Como entrenar a tu dragn;1;2015-08-15;2015-08-15;22:00;Parque Emperatriz Mara de Austria;40.382311100280766;-3.7227552919050586;CARABANCHEL
Pelcula. Como entrenar a tu dragn;1;2015-08-21;2015-08-21;22:00;Parque de la Peseta;40.364341448699825;-3.757402071835875;CARABANCHEL
